ID,N_claims_history,Claims_history_log,Has_claims_history,Is_frequent_claimant,Claims_per_year,R_Claims_history,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Age_licence_gap,Late_licence,Is_van,Is_passenger_car,Is_motorbike,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Has_second_driver,Is_urban,Composite_risk_score,Seniority,Policy_age_years,Is_broker_urban,Policy_start_quarter,Is_Q4_start,Claims_binary
1,0,0.0,0,0,0.0,0.0,62.71047227926078,0,42.78165639972622,0,19.92881587953456,0,0,0,1,7068.0,8.863474306170954,0,80,4.394449154672439,0,0,0,0,4,3.154004106776181,0,4,1,0
1,0,0.0,0,0,0.0,0.0,62.71047227926078,0,42.78165639972622,0,19.92881587953456,0,0,0,1,7068.0,8.863474306170954,0,80,4.394449154672439,0,0,0,0,4,3.154004106776181,0,4,1,0
1,0,0.0,0,0,0.0,0.0,62.71047227926078,0,42.78165639972622,0,19.92881587953456,0,0,0,1,7068.0,8.863474306170954,0,80,4.394449154672439,0,0,0,0,4,3.154004106776181,0,4,1,0
1,0,0.0,0,0,0.0,0.0,62.71047227926078,0,42.78165639972622,0,19.92881587953456,0,0,0,1,7068.0,8.863474306170954,0,80,4.394449154672439,0,0,0,0,4,3.154004106776181,0,4,1,0
2,0,0.0,0,0,0.0,0.0,62.71047227926078,0,42.78165639972622,0,19.92881587953456,0,0,0,1,7068.0,8.863474306170954,0,80,4.394449154672439,0,0,0,0,4,1.2621492128678986,0,3,0,0
2,0,0.0,0,0,0.0,0.0,62.71047227926078,0,42.78165639972622,0,19.92881587953456,0,0,0,1,7068.0,8.863474306170954,0,80,4.394449154672439,0,0,0,0,4,1.2621492128678986,0,3,0,0
3,0,0.0,0,0,0.0,0.0,43.78918548939083,0,23.477070499657767,0,20.312114989733065,0,0,1,0,16030.0,9.682279626689674,0,85,4.454347296253507,0,0,0,0,15,5.086926762491444,0,4,1,0
3,0,0.0,0,0,0.0,0.0,43.78918548939083,0,23.477070499657767,0,20.312114989733065,0,0,1,0,16030.0,9.682279626689674,0,85,4.454347296253507,0,0,0,0,15,5.086926762491444,0,4,1,0
3,0,0.0,0,0,0.0,0.0,43.78918548939083,0,23.477070499657767,0,20.312114989733065,0,0,1,0,16030.0,9.682279626689674,0,85,4.454347296253507,0,0,0,0,15,5.086926762491444,0,4,1,0
3,0,0.0,0,0,0.0,0.0,43.78918548939083,0,23.477070499657767,0,20.312114989733065,0,0,1,0,16030.0,9.682279626689674,0,85,4.454347296253507,0,0,0,0,15,5.086926762491444,0,4,1,0
