ID,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Cylinder_capacity,Is_van,Is_passenger_car,Is_motorbike,N_claims_history,R_Claims_history,Claims_per_year,Premium,Premium_log,Premium_to_value_ratio,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Has_second_driver,Is_urban,Weight,Year_matriculation,Is_agent_channel,Is_broker_urban,Composite_risk_score,Seniority,Claims_severity
36564,20265.0,9.916699884008263,0,90,4.51085950651685,0,1560,0,1,0,0,0.0,0.0,255.28,5.546270596770821,0.012596466989045693,46.945927446954144,0,20.449007529089666,0,0,0,1344,2010,0,0,0,4,0.0
36565,19412.69,9.873733766286437,0,110,4.709530201312334,0,1896,0,1,0,6,0.79,0.75,259.45,5.562410904191201,0.013364280566960738,46.63107460643395,0,24.908966461327857,0,0,0,1378,1999,1,0,1,8,52.09
36565,19412.69,9.873733766286437,0,110,4.709530201312334,0,1896,0,1,0,6,0.79,0.75,254.18,5.541969178493598,0.013092822642166432,46.63107460643395,0,24.908966461327857,0,0,0,1378,1999,1,0,1,8,106.76
36565,19412.69,9.873733766286437,0,110,4.709530201312334,0,1896,0,1,0,6,0.79,0.75,255.44,5.546894719119057,0.013157725295912318,46.63107460643395,0,24.908966461327857,0,0,0,1378,1999,1,0,1,8,60.62
36566,7512.65,8.924476645331186,0,6,1.9459101490553132,0,583,0,0,1,2,0.42,0.125,100.69,4.621928969803046,0.0134009436159523,45.53867214236824,0,26.882956878850102,0,0,0,186,2000,1,0,0,16,79.39
36566,7512.65,8.924476645331186,0,6,1.9459101490553132,0,583,0,0,1,2,0.42,0.125,98.84,4.603568904621118,0.013154725067044647,45.53867214236824,0,26.882956878850102,0,0,0,186,2000,1,0,0,16,0.0
36566,7512.65,8.924476645331186,0,6,1.9459101490553132,0,583,0,0,1,2,0.42,0.125,92.89,4.542123884270456,0.01236283297731462,45.53867214236824,0,26.882956878850102,0,0,0,186,2000,1,0,0,16,0.0
36567,14685.0,9.594649938011555,0,80,4.394449154672439,0,1390,0,1,0,2,0.17,0.16666666666666666,269.55,5.6004569240887445,0.01835421489854283,45.46748802190281,0,27.08829568788501,0,0,0,1021,2007,1,0,0,12,0.0
36567,14685.0,9.594649938011555,0,80,4.394449154672439,0,1390,0,1,0,2,0.17,0.16666666666666666,277.63,5.629884736811954,0.018904398747106088,45.46748802190281,0,27.08829568788501,0,0,0,1021,2007,1,0,0,12,0.0
36567,14685.0,9.594649938011555,0,80,4.394449154672439,0,1390,0,1,0,2,0.17,0.16666666666666666,273.47,5.614841965359553,0.01862113577556857,45.46748802190281,0,27.08829568788501,0,0,0,1021,2007,1,0,0,12,0.0
36568,1412.38,7.253739277880707,0,6,1.9459101490553132,0,49,0,0,1,0,0.0,0.0,146.8,4.995860008514102,0.1038644950402581,47.41409993155373,0,27.41409993155373,0,0,0,87,2007,0,0,0,6,0.0
36568,1412.38,7.253739277880707,0,6,1.9459101490553132,0,49,0,0,1,0,0.0,0.0,149.74,5.015556498415324,0.10594461503629597,47.41409993155373,0,27.41409993155373,0,0,0,87,2007,0,0,0,6,0.0
36568,1412.38,7.253739277880707,0,6,1.9459101490553132,0,49,0,0,1,0,0.0,0.0,151.24,5.025458222987894,0.10700590074856019,47.41409993155373,0,27.41409993155373,0,0,0,87,2007,0,0,0,6,0.0
36569,12865.0,9.462343451970945,0,75,4.330733340286331,0,1360,0,1,0,0,0.0,0.0,214.26,5.371846599836152,0.01665319446603451,45.37713894592745,0,22.82819986310746,0,0,0,1066,2004,0,0,0,3,0.0
36570,31925.85,10.371202627538167,1,102,4.634728988229636,0,1968,1,0,0,0,0.0,0.0,463.93,6.141886856621021,0.014531029525305503,46.98699520876112,0,27.537303216974674,0,0,0,2008,2016,0,0,0,3,0.0
36570,31925.85,10.371202627538167,1,102,4.634728988229636,0,1968,1,0,0,0,0.0,0.0,466.24,6.146843044287495,0.014603382419499576,46.98699520876112,0,27.537303216974674,0,0,0,2008,2016,0,0,0,3,0.0
36570,31925.85,10.371202627538167,1,102,4.634728988229636,0,1968,1,0,0,0,0.0,0.0,468.59,6.151859973568241,0.014676988177662375,46.98699520876112,0,27.537303216974674,0,0,0,2008,2016,0,0,0,3,0.0
36571,11978.17,9.390924587132428,0,71,4.276666119016055,0,1598,0,1,0,12,1.0,3.0,399.49,5.992688797407675,0.03334872115513846,51.572895277207394,0,26.95687885010267,0,0,0,1130,1997,0,0,1,4,882.0
36572,21000.0,9.952325334619427,0,140,4.948759890378168,1,1996,0,1,0,4,0.33,0.3076923076923077,314.15,5.753048715959119,0.014958811485167372,45.43189596167009,0,27.33196440793977,0,0,0,1385,2006,1,0,0,13,0.0
36572,21000.0,9.952325334619427,0,140,4.948759890378168,1,1996,0,1,0,4,0.33,0.3076923076923077,318.87,5.767914663251885,0.015183562687491072,45.43189596167009,0,27.33196440793977,0,0,0,1385,2006,1,0,0,13,0.0
36572,21000.0,9.952325334619427,0,140,4.948759890378168,1,1996,0,1,0,4,0.33,0.3076923076923077,314.11,5.752921784216493,0.014956906813961241,45.43189596167009,0,27.33196440793977,0,0,0,1385,2006,1,0,0,13,0.0
36573,13940.0,9.542589417753089,0,70,4.2626798770413155,0,1198,0,1,0,2,0.61,0.5,212.0,5.3612921657094255,0.015206943547808622,46.861054072553046,0,20.1533196440794,0,0,0,992,2012,1,0,0,4,948.06
