Model,Best_Score,Best_Params
churn,0.8821390900908366,"{'max_depth': 7, 'learning_rate': 0.04916375205481588, 'n_estimators': 500, 'min_child_weight': 11, 'subsample': 0.9569798695228531, 'colsample_bytree': 0.8148398163794848, 'gamma': 0.049141285496909284, 'reg_alpha': 0.4823258632158079, 'reg_lambda': 1.135712587430532}"
claims_frequency,0.9240486828323151,"{'max_depth': 5, 'learning_rate': 0.015383453843115753, 'n_estimators': 500, 'min_child_weight': 14, 'subsample': 0.8954495887929053, 'colsample_bytree': 0.6669193008730772, 'gamma': 0.4971509633507084, 'reg_alpha': 1.6216964573221424, 'reg_lambda': 0.11508615689407964}"
